Geneid	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000187017.18	9	3	7	5	6	14	13	5
ENSG00000265392.1	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	1	0
ENSG00000215788.11	161	155	140	172	168	139	170	92
ENSG00000171680.23	405	363	329	504	340	459	448	201
ENSG00000297749.1	0	0	0	0	0	0	0	0
ENSG00000299237.1	4	1	2	0	4	1	1	0
ENSG00000299253.1	0	0	4	2	1	2	6	0
ENSG00000162408.11	2225	1993	1417	3358	1824	1845	1666	974
ENSG00000253022.1	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0
ENSG00000173662.21	3	8	2	7	3	5	4	0
ENSG00000204859.13	1192	977	776	1896	1071	1310	1228	658
ENSG00000162413.17	1778	1406	1145	2831	1642	1481	1386	783
ENSG00000295286.1	0	0	0	1	0	0	0	0
ENSG00000304810.1	2	2	1	4	7	6	4	2
ENSG00000116273.6	1883	1618	1310	2348	1372	1966	1857	1041
ENSG00000041988.16	915	724	573	1268	728	910	881	458
ENSG00000007923.17	5378	4442	3552	8661	4836	4153	3905	2035
ENSG00000228750.8	2	0	0	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0
ENSG00000237436.2	47	47	27	95	56	74	84	27
ENSG00000171735.21	2626	2177	1694	3713	2182	2828	2823	1377
ENSG00000227950.1	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0
ENSG00000310450.1	0	0	0	0	0	0	0	0
ENSG00000237402.2	1	0	2	2	1	3	5	2
ENSG00000237728.3	0	0	0	0	0	0	0	0
ENSG00000294314.1	0	0	0	0	0	0	0	0
ENSG00000225126.2	0	1	0	0	0	0	0	0
ENSG00000298973.1	0	0	0	0	0	0	0	0
ENSG00000306883.1	0	0	0	0	0	1	0	0
ENSG00000302704.1	0	0	0	0	0	0	0	0
ENSG00000270171.1	3	3	2	6	5	10	9	5
ENSG00000270035.1	9	9	5	7	10	11	16	6
ENSG00000269978.2	46	26	24	31	30	62	48	25
ENSG00000300603.1	0	1	2	2	1	1	2	2
ENSG00000049245.13	4994	4286	3228	7151	4204	4634	4290	2366
ENSG00000269925.1	48	45	32	59	39	42	39	21
ENSG00000049246.15	395	331	265	555	307	428	451	265
ENSG00000236266.2	0	1	0	0	0	0	0	0
ENSG00000049247.14	3	2	2	3	3	3	2	2
ENSG00000302605.1	0	0	3	2	1	0	1	0
ENSG00000049249.10	210	219	194	314	242	515	504	297
ENSG00000270330.1	0	0	0	0	0	0	0	0
ENSG00000116288.13	7271	5930	4798	8572	4960	6464	6263	3347
ENSG00000299004.1	27	11	12	37	29	39	49	26
ENSG00000200344.1	0	0	0	0	0	0	0	0
ENSG00000284747.1	156	104	100	244	138	103	98	48
ENSG00000284716.1	0	0	2	1	0	0	0	0
ENSG00000116285.13	2593	2082	1629	4243	2433	2438	2313	1371
ENSG00000238290.2	5	5	1	7	4	6	6	7
ENSG00000232848.1	0	0	0	0	0	0	0	0
ENSG00000301325.1	2	0	0	1	0	0	0	0
ENSG00000227634.4	1	0	0	2	1	0	0	0
ENSG00000229305.1	0	0	0	0	0	0	0	0
ENSG00000301344.1	0	0	0	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0
ENSG00000298156.1	2	0	1	0	1	0	0	0
ENSG00000301025.1	0	0	0	0	0	0	0	0
ENSG00000301006.1	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0
ENSG00000162426.16	16	15	9	10	4	14	13	4
ENSG00000252254.1	0	0	0	0	0	0	0	0
ENSG00000142599.20	6340	5438	4210	8948	5385	5328	5100	2785
ENSG00000232912.6	0	2	0	4	1	0	1	1
ENSG00000221083.1	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0	0	0	0
ENSG00000303676.1	0	0	0	0	0	0	0	0
ENSG00000222511.2	0	0	0	1	3	1	0	0
ENSG00000226545.1	0	0	0	0	0	0	0	0
ENSG00000228423.2	0	0	0	0	1	1	0	0
ENSG00000229716.2	0	0	0	0	0	0	0	0
ENSG00000074800.16	74201	61506	50846	114560	71082	74009	71405	37222
ENSG00000274258.1	1	1	3	7	0	0	1	0
ENSG00000230679.2	20	21	29	48	23	48	54	23
ENSG00000201725.1	0	0	0	0	0	0	0	0
ENSG00000238249.2	1	2	1	3	3	5	3	0
ENSG00000310107.1	0	0	0	0	0	0	0	0
ENSG00000232208.2	0	0	0	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0	0	0
ENSG00000310124.1	0	0	0	0	0	0	0	0
ENSG00000131686.15	0	0	0	1	0	0	0	0
ENSG00000290109.2	0	0	0	0	0	0	0	0
ENSG00000265141.2	0	0	0	0	0	0	0	0
ENSG00000197241.4	6	3	5	2	0	6	0	0
ENSG00000142583.18	1	5	4	4	1	5	3	1
ENSG00000252404.1	0	0	0	0	0	0	0	0
ENSG00000180758.12	607	523	398	748	494	774	721	385
ENSG00000228526.9	941	906	655	1968	1158	1086	1112	569
ENSG00000284357.1	0	0	0	0	0	0	0	0
ENSG00000289914.2	0	0	0	1	0	1	0	0
ENSG00000302015.1	0	0	0	0	0	0	0	0
ENSG00000234546.6	210	238	201	469	260	402	386	202
ENSG00000301983.1	1	5	2	3	5	8	2	0
ENSG00000301968.1	2	6	2	8	9	11	6	5
ENSG00000049239.13	1046	897	744	1376	927	1369	1453	733
ENSG00000302217.1	0	0	0	0	0	0	0	0
ENSG00000171621.14	269	258	181	544	281	343	324	180
ENSG00000294252.1	0	0	0	0	0	0	0	0
ENSG00000296073.1	1	0	0	0	1	0	1	0
ENSG00000296056.1	0	1	0	0	0	0	0	0
ENSG00000307568.1	1	0	0	0	0	0	0	0
ENSG00000284652.1	10	2	3	4	4	12	4	5
ENSG00000284693.3	58	34	30	111	59	75	64	38
ENSG00000252956.1	0	0	0	0	0	0	0	0
ENSG00000301013.1	0	1	0	2	0	0	0	0
ENSG00000301030.1	0	0	0	0	0	0	0	0
ENSG00000306844.1	0	0	0	0	0	0	0	0
ENSG00000296249.1	0	0	0	0	0	0	0	0
ENSG00000235263.2	0	0	0	0	0	1	0	0
ENSG00000171612.7	1190	947	677	1648	928	1034	971	550
ENSG00000231181.1	20	17	11	21	20	24	20	9
ENSG00000188807.13	1749	1367	1086	2395	1396	1481	1424	674
ENSG00000307011.1	0	0	0	0	0	0	0	0
ENSG00000171608.18	389	416	340	485	322	615	664	351
ENSG00000179840.5	0	0	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0	0	0
ENSG00000301080.1	0	0	1	0	0	0	0	0
ENSG00000231789.5	150	132	133	188	124	183	218	99
ENSG00000171603.18	5466	4326	3482	7037	4332	5737	5163	2763
ENSG00000271264.1	0	0	1	0	0	0	1	1
ENSG00000280113.2	0	0	0	0	0	0	0	0
ENSG00000178585.15	981	899	729	1246	738	918	898	446
ENSG00000223989.1	0	1	0	0	0	0	0	0
ENSG00000285701.2	0	0	0	0	0	0	0	0
ENSG00000228150.2	34	23	16	48	23	39	25	19
ENSG00000162441.12	2912	2332	1744	4159	2244	2288	2010	1179
ENSG00000173614.14	252	211	180	455	285	348	300	186
ENSG00000202415.1	6	6	2	11	6	16	10	7
ENSG00000283611.2	0	0	0	0	0	0	0	0
ENSG00000265521.1	0	0	0	2	0	1	0	0
ENSG00000241326.1	0	0	0	0	0	0	0	0
ENSG00000162444.12	11	6	3	9	5	10	14	3
ENSG00000130939.20	3655	3103	2391	5958	3392	3234	2893	1767
ENSG00000224340.1	0	0	0	0	0	0	0	0
ENSG00000233623.2	0	0	2	1	0	0	1	3
ENSG00000201746.1	0	0	2	2	0	2	1	1
ENSG00000054523.20	5360	5025	3766	8552	5115	6289	5505	3519
ENSG00000264881.1	0	0	0	0	0	1	0	0
ENSG00000199562.1	1	0	0	1	0	1	0	0
ENSG00000264501.2	0	0	0	0	0	0	0	0
ENSG00000284735.1	2	0	0	0	0	0	0	1
ENSG00000284642.1	27	23	18	27	19	31	25	11
ENSG00000142657.21	6466	5498	4240	10277	5948	5586	5293	3101
ENSG00000271989.1	17	17	9	27	6	6	9	9
ENSG00000251503.8	0	0	0	0	0	0	0	0
ENSG00000175279.22	151	113	87	209	107	125	101	75
ENSG00000241563.4	5	3	1	5	7	2	4	1
ENSG00000160049.12	5784	4976	3944	8255	5081	6510	5839	3373
ENSG00000203469.2	0	1	0	1	1	0	1	0
ENSG00000142655.13	1183	1002	853	1679	1025	1152	1168	572
ENSG00000307253.1	0	0	0	0	0	0	0	0
ENSG00000287727.1	0	0	0	1	0	0	0	0
